STT,Phân loại,Loại Hàng,Độ mạ,Độ dày,Độ Mác thép,Mã màu,Khối lượng,Met A,Met B,Met C,Tỷ trọng thực tế,Tên màu,Khổ (mm),Ngày bán,Thành Tiền,Khu Vực (Quận/Huyện),Tỉnh / Thành Phố_x,Năm,Tháng,Ngày,Thứ,Cuối tuần,Tuần trong tháng,Quý,Mùa,Doanh thu trên mỗi kg sản phẩm,Doanh thu trên mỗi mm khổ,Mức_độ_dày,Phân loại độ dày vật lý,Dòng sản phẩm,Nhóm độ dày SKU,Cấp chất lượng vật liệu,Mã màu chuẩn hóa,Khổ sản phẩm (mm),Mã_sản_phẩm,Doanh thu trung bình mỗi lần bán,Số ngày giữa 2 đơn liên tiếp,Tổng số giao dịch của sản phẩm,Tổng doanh thu sản phẩm,Doanh thu trung bình mỗi lần bán,Số ngày giữa 2 đơn liên tiếp,Tổng doanh thu sản phẩm,Mã khách hàng,Loại khách,Tỉnh / Thành Phố_y,Tên_khách_hàng,Phân khúc sản phẩm,Mức rủi ro giao dịch,Độ phức tạp bảo hành,Mức độ khiếu nại,Cờ giao hàng trễ,Cờ khiếu nại lặp lại,Cờ giao dịch bất thường,% đóng góp doanh thu,Tỷ lệ chi phí ước tính,Biên lợi nhuận ước tính,Điểm hài lòng KH (proxy)
3,1,GL,AZ080,0.35,G550,,4070,1582,0,2,2.569444444,,1200,8/2/2025,87950665,TP. Tân Uyên,Bình Dương,2025,8,2,Saturday,TRUE,1,2025Q3,Mùa mưa,21609.5,73292.22083,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,383285930.5,,133,11121469464,83620071.15,22.16666667,10689658678,CUST_0025,Retail,Bình Thuận,Đại lý VLXD Thịnh Vượng - Bình Thuận,Economy,Low,Low,Low,0,0,0,0.1036135013,0.8487299164,0.1512700836,85
7,1A,GL,AZ100,0.35,G550,,4670,1642,0,2,2.840632603,,1200,8/2/2025,95779365,Quận Bình Tân,TP. Hồ Chí Minh,2025,8,2,Saturday,TRUE,1,2025Q3,Mùa mưa,20509.5,79816.1375,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,383285930.5,0,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0058,Retail,Bình Thuận,Đại lý VLXD Hưng Thịnh - Bình Thuận,Standard,Medium,Medium,Medium,0,0,0,0.112836388,0.6312473085,0.3687526915,85
10,1A,GL,AZ100,0.35,G550,,4585,1616,2,2,2.830246914,,1200,8/7/2025,98565120.5,TP. Thủ Đức,TP. Hồ Chí Minh,2025,8,7,Thursday,FALSE,1,2025Q3,Mùa mưa,21497.3,82137.60042,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,383285930.5,5,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0063,Wholesale,Bà Rịa - Vũng Tàu,Công ty TNHH VLXD Thịnh Vượng - Bà Rịa - Vũng Tàu,Premium,Medium,High,High,0,1,0,0.1161182492,0.5533159006,0.4466840994,60
13,1A,GL,AZ100,0.35,G550,,4700,1656,2,6,2.824519231,,1200,8/7/2025,100990780,Quận Bình Tân,TP. Hồ Chí Minh,2025,8,7,Thursday,FALSE,1,2025Q3,Mùa mưa,21487.4,84158.98333,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,383285930.5,0,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0062,Retail,Bình Thuận,Đại lý VLXD Đại Phát - Bình Thuận,Economy,Low,Low,Medium,0,0,0,0.1189758862,0.8487299164,0.1512700836,85
58,1,GL,AZ080,0.35,G550,,3820,1470,0,2,2.595108696,,1200,8/13/2025,82968490,Huyện Cẩm Mỹ,Đồng Nai,2025,8,13,Wednesday,FALSE,2,2025Q3,Mùa mưa,21719.5,69140.40833,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,373233179,6,133,11121469464,83620071.15,22.16666667,8377944669,CUST_0022,Retail,Bình Thuận,Đại lý VLXD Đại Phát - Bình Thuận,Economy,Low,Low,Low,0,0,0,0.09774406758,0.8487299164,0.1512700836,85
60,1A,GL,AZ100,0.35,G550,,4610,1618,0,2,2.845679012,,1200,8/14/2025,93027495,Quận Tân Phú,TP. Hồ Chí Minh,2025,8,14,Thursday,FALSE,2,2025Q3,Mùa mưa,20179.5,77522.9125,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,373233179,1,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0058,Retail,Bình Thuận,Đại lý VLXD Hưng Thịnh - Bình Thuận,Economy,Medium,Low,Low,0,0,0,0.1095944467,0.8487299164,0.1512700836,85
61,1A,GL,AZ100,0.35,G550,,4645,1636,0,8,2.825425791,,1200,8/14/2025,95200204,Quận Bình Tân,TP. Hồ Chí Minh,2025,8,14,Thursday,FALSE,2,2025Q3,Mùa mưa,20495.2,79333.50333,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,373233179,0,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0058,Retail,Bình Thuận,Đại lý VLXD Hưng Thịnh - Bình Thuận,Economy,Low,Low,Medium,0,0,0,0.1121540861,0.8487299164,0.1512700836,85
64,1A,GL,AZ100,0.35,G550,,4820,1698,0,2,2.835294118,,1200,8/14/2025,102036990,Quận Bình Tân,TP. Hồ Chí Minh,2025,8,14,Thursday,FALSE,2,2025Q3,Mùa mưa,21169.5,85030.825,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,373233179,0,133,11121469464,83620071.15,22.16666667,42799130622,CUST_0086,Retail,Bình Thuận,Đại lý VLXD Phú Cường - Bình Thuận,Standard,Medium,Medium,Medium,1,0,0,0.1202084122,0.6312473085,0.3687526915,75
25,1,GL,AZ080,0.35,G550,,4430,1726,0,2,2.563657407,,1200,8/15/2025,93420283,Huyện Long Hồ,Vĩnh Long,2025,8,15,Friday,FALSE,3,2025Q3,Mùa mưa,21088.1,77850.23583,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,1070705801,1,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0049,Retail,Đồng Nai,Đại lý VLXD Bình Minh - Đồng Nai,Economy,Medium,Low,Low,0,0,0,0.110057185,0.8487299164,0.1512700836,85
26,1,GL,AZ080,0.35,G550,,4340,1690,0,2,2.56501182,,1200,8/15/2025,91517580,Huyện Long Hồ,Vĩnh Long,2025,8,15,Friday,FALSE,3,2025Q3,Mùa mưa,21087,76264.65,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,1070705801,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0052,Wholesale,Gia Lai,Công ty TNHH VLXD Hoàng Gia - Gia Lai,Premium,High,High,Medium,0,0,1,0.1078156361,0.5533159006,0.4466840994,90
27,1,GL,AZ080,0.35,G550,,4050,1578,0,2,2.563291139,,1200,8/15/2025,85402350,Huyện Long Hồ,Vĩnh Long,2025,8,15,Friday,FALSE,3,2025Q3,Mùa mưa,21087,71168.625,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,1070705801,0,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0042,Retail,TP. Hồ Chí Minh,Đại lý VLXD Phú Cường - TP. Hồ Chí Minh,Economy,Low,Low,Low,0,0,0,0.1006113655,0.8487299164,0.1512700836,85
28,1,GL,AZ080,0.35,G550,,4050,1578,0,2,2.563291139,,1200,8/16/2025,85402350,Huyện Long Hồ,Vĩnh Long,2025,8,16,Saturday,TRUE,3,2025Q3,Mùa mưa,21087,71168.625,Trung bình,Cao,TONKEM,MONG,CAO,NAN,1200,TONKEM_MONG_CAO_NAN_1200,1070705801,1,133,11121469464,83620071.15,22.16666667,7589710139,CUST_0070,Partner,Long An,Xưởng VLXD Đại Phát - Long An,Premium,Medium,High,High,0,0,0,0.1006113655,0.5533159006,0.4466840994,75
