STT;Phân loại;Loại Hàng;Độ M;Độ D;Độ MT;Mã màu;Khối lượng;Met A;Met B;Met C;Tỷ trọng thực tế;Tên màu;Khổ (mm);Ngày bán;Thành Tiền;Khu Vực (Quận/Huyện);Tỉnh / Thành Phố;Năm;Tháng;Ngày;Thứ;Cuối_tuần;Tuần_trong_tháng;Quý;Mùa;Giá_trên_kg;Doanh_thu_trên_mm;Mức_độ_dày;Mức_độ_cứng;SKU_Dòng;SKU_Độ_dày;SKU_Màu;Mã_sản_phẩm;Doanh_thu_theo_tuan_trong_thang;Khoảng_cách_đơn_trước;Số_lần_bán_sản_phẩm;Tổng_doanh_thu_sản_phẩm;Doanh_thu_tb_mỗi_lần;Tần_suất_bán;Doanh_thu_tỉnh;Mã_khách_hàng;Loại_khách_hàng;Tên_khách_hàng;Phân_khúc_sản_phẩm;Mức_rủi_ro_giao_dịch;Độ_phức_tạp_bảo_hành;Mức_độ_khiếu_nại;Khoảng_cách_vận_chuyển_km;Cờ_giao_hàng_trễ;Cờ_khiếu_nại_lặp_lại;Cờ_giao_dịch_bất_thường;Tỷ_trọng_doanh_thu_%;Tỷ_lệ_chi_phí;Ước_tính_biên_lợi_nhuận;Điểm_hài_lòng_khách_hàng
3;1;GL;AZ080;0.35;G550;;4070;1582;0;2;2.569444444;;1200;2025-08-02;87950665;TP. Tân Uyên;Bình Dương;2025;8;2;Thứ 7;True;1;2025Q3;Mùa mưa;21610;73292;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;383285930.5;;133;11121469464.0;83620071;24;10689658678;CUST_0093;Bán sỉ;Công ty VLXD Phát - Long An;Tiêu chuẩn;Thấp;Trung bình;Thấp;110;0;0;0;0.103613501;0.621076095;0.378923905;90
7;1A;GL;AZ100;0.35;G550;;4670;1642;0;2;2.840632603;;1200;2025-08-02;95779365;Quận Bình Tân;TP. Hồ Chí Minh;2025;8;2;Thứ 7;True;1;2025Q3;Mùa mưa;20510;79816;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;383285930.5;0;133;11121469464.0;83620071;24;42799130622;CUST_0042;Bán lẻ;Đại lý VLXD Khánh - TP. Hồ Chí Minh;Tiêu chuẩn;Trung bình;Trung bình;Trung bình;122;0;1;0;0.112836388;0.666442652;0.333557348;75
10;1A;GL;AZ100;0.35;G550;;4585;1616;2;2;2.830246914;;1200;2025-08-07;98565121;TP. Thủ Đức;TP. Hồ Chí Minh;2025;8;7;Thứ 5;False;1;2025Q3;Mùa mưa;21497;82138;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;383285930.5;5;133;11121469464.0;83620071;24;42799130622;CUST_0119;Đối tác;Xưởng VLXD Phúc - Bình Thuận;Cao cấp;Trung bình;Cao;Cao;456;0;0;0;0.116118249;0.584215757;0.415784243;70
13;1A;GL;AZ100;0.35;G550;;4700;1656;2;6;2.824519231;;1200;2025-08-07;100990780;Quận Bình Tân;TP. Hồ Chí Minh;2025;8;7;Thứ 5;False;1;2025Q3;Mùa mưa;21487;84159;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;383285930.5;0;133;11121469464.0;83620071;24;42799130622;CUST_0026;Bán sỉ;Công ty VLXD Minh - Long An;Tiêu chuẩn;Thấp;Trung bình;Trung bình;120;0;0;0;0.118975886;0.727356564;0.272643436;90
58;1;GL;AZ080;0.35;G550;;3820;1470;0;2;2.595108696;;1200;2025-08-13;82968490;Huyện Cẩm Mỹ;Đồng Nai;2025;8;13;Thứ 4;False;2;2025Q3;Mùa mưa;21720;69140;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;373233179.0;6;133;11121469464.0;83620071;24;8377944669;CUST_0099;Bán lẻ;Đại lý VLXD Thịnh - Gia Lai;Phổ thông;Thấp;Thấp;Thấp;70;0;0;0;0.097744068;0.766546862;0.233453138;85
60;1A;GL;AZ100;0.35;G550;;4610;1618;0;2;2.845679012;;1200;2025-08-14;93027495;Quận Tân Phú;TP. Hồ Chí Minh;2025;8;14;Thứ 5;False;2;2025Q3;Mùa mưa;20180;77523;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;373233179.0;1;133;11121469464.0;83620071;24;42799130622;CUST_0050;Bán lẻ;Đại lý VLXD An - TP. Hồ Chí Minh;Phổ thông;Trung bình;Thấp;Thấp;291;0;0;0;0.109594447;0.837812096;0.162187904;85
61;1A;GL;AZ100;0.35;G550;;4645;1636;0;8;2.825425791;;1200;2025-08-14;95200204;Quận Bình Tân;TP. Hồ Chí Minh;2025;8;14;Thứ 5;False;2;2025Q3;Mùa mưa;20495;79334;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;373233179.0;0;133;11121469464.0;83620071;24;42799130622;CUST_0025;Bán lẻ;Đại lý VLXD Nam - Bình Thuận;Phổ thông;Thấp;Thấp;Trung bình;572;0;0;0;0.112154086;0.766056133;0.233943867;85
64;1A;GL;AZ100;0.35;G550;;4820;1698;0;2;2.835294118;;1200;2025-08-14;102036990;Quận Bình Tân;TP. Hồ Chí Minh;2025;8;14;Thứ 5;False;2;2025Q3;Mùa mưa;21170;85031;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;373233179.0;0;133;11121469464.0;83620071;24;42799130622;CUST_0024;Bán lẻ;Đại lý VLXD Minh - Bình Định;Tiêu chuẩn;Trung bình;Trung bình;Trung bình;118;1;1;0;0.120208412;0.682316979;0.317683021;65
25;1;GL;AZ080;0.35;G550;;4430;1726;0;2;2.563657407;;1200;2025-08-15;93420283;Huyện Long Hồ;Vĩnh Long;2025;8;15;Thứ 6;False;3;2025Q3;Mùa mưa;21088;77850;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;1070705801.0;1;133;11121469464.0;83620071;24;7589710139;CUST_0013;Bán sỉ;Công ty VLXD Long - Tỉnh Khánh Hòa;Cao cấp;Cao;Cao;Trung bình;448;1;1;0;0.110057185;0.619442852;0.380557148;60
26;1;GL;AZ080;0.35;G550;;4340;1690;0;2;2.56501182;;1200;2025-08-15;91517580;Huyện Long Hồ;Vĩnh Long;2025;8;15;Thứ 6;False;3;2025Q3;Mùa mưa;21087;76265;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;1070705801.0;0;133;11121469464.0;83620071;24;7589710139;CUST_0060;Bán lẻ;Đại lý VLXD Bình - Bình Dương;Tiêu chuẩn;Trung bình;Trung bình;Thấp;230;0;0;0;0.107815636;0.687460153;0.312539847;90
27;1;GL;AZ080;0.35;G550;;4050;1578;0;2;2.563291139;;1200;2025-08-15;85402350;Huyện Long Hồ;Vĩnh Long;2025;8;15;Thứ 6;False;3;2025Q3;Mùa mưa;21087;71169;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;1070705801.0;0;133;11121469464.0;83620071;24;7589710139;CUST_0007;Bán lẻ;Đại lý VLXD Nam - Long An;Phổ thông;Thấp;Thấp;Thấp;190;1;1;0;0.100611365;0.844032711;0.155967289;60
28;1;GL;AZ080;0.35;G550;;4050;1578;0;2;2.563291139;;1200;2025-08-16;85402350;Huyện Long Hồ;Vĩnh Long;2025;8;16;Thứ 7;True;3;2025Q3;Mùa mưa;21087;71169;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;1070705801.0;1;133;11121469464.0;83620071;24;7589710139;CUST_0057;Bán lẻ;Đại lý VLXD Tú - Phú Yên;Tiêu chuẩn;Thấp;Trung bình;Trung bình;559;1;0;0;0.100611365;0.699050375;0.300949625;80
29;1;GL;AZ080;0.35;G550;;4040;1570;0;2;2.569974555;;1200;2025-08-16;85191480;Huyện Long Hồ;Vĩnh Long;2025;8;16;Thứ 7;True;3;2025Q3;Mùa mưa;21087;70993;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;1070705801.0;0;133;11121469464.0;83620071;24;7589710139;CUST_0036;Bán sỉ;Công ty VLXD Bình - Bà Rịa - Vũng Tàu;Cao cấp;Cao;Cao;Cao;515;0;0;0;0.100362942;0.578406418;0.421593582;70
30;1;GL;AZ080;0.35;G550;;4120;1606;0;2;2.562189055;;1200;2025-08-16;86878440;Huyện Long Hồ;Vĩnh Long;2025;8;16;Thứ 7;True;3;2025Q3;Mùa mưa;21087;72399;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;1070705801.0;0;133;11121469464.0;83620071;24;7589710139;CUST_0045;Bán lẻ;Đại lý VLXD Phúc - Tỉnh Khánh Hòa;Phổ thông;Thấp;Thấp;Thấp;126;0;0;0;0.102350327;0.703538795;0.296461205;85
67;1;GL;AZ080;0.3;G550;;4260;1922;0;2;2.214137214;;1200;2025-08-18;95636574;TP. Biên Hòa;Đồng Nai;2025;8;18;Thứ 2;False;3;2025Q3;Mùa mưa;22450;79697;Mỏng;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;1070705801.0;2;133;11121469464.0;83620071;24;8377944669;CUST_0020;Bán lẻ;Đại lý VLXD Phát - Đồng Nai;Phổ thông;Trung bình;Thấp;Thấp;70;0;1;0;0.112668168;0.762059935;0.237940065;70
77;1;GL;AZ080;0.3;G550;;3930;1774;0;2;2.212837838;;1200;2025-08-20;87104127;Quận Tân Phú;TP. Hồ Chí Minh;2025;8;20;Thứ 4;False;3;2025Q3;Mùa mưa;22164;72587;Mỏng;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;1070705801.0;2;133;11121469464.0;83620071;24;42799130622;CUST_0065;Bán lẻ;Đại lý VLXD Minh - TP. Hồ Chí Minh;Phổ thông;Thấp;Thấp;Thấp;148;0;0;0;0.102616206;0.744887263;0.255112737;85
78;1;GL;AZ080;0.35;G550;;4110;1610;0;2;2.549627792;;1200;2025-08-20;86120529;Quận Tân Phú;TP. Hồ Chí Minh;2025;8;20;Thứ 4;False;3;2025Q3;Mùa mưa;20954;71767;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;1070705801.0;0;133;11121469464.0;83620071;24;42799130622;CUST_0008;Đối tác;Xưởng VLXD Khánh - Phú Yên;Tiêu chuẩn;Cao;Trung bình;Cao;378;0;1;1;0.101457443;0.71221585;0.28778415;60
80;1;GL;AZ080;0.35;G550;;4080;1594;0;2;2.556390977;;1200;2025-08-20;88615560;Huyện Cẩm Mỹ;Đồng Nai;2025;8;20;Thứ 4;False;3;2025Q3;Mùa mưa;21720;73846;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;1070705801.0;0;133;11121469464.0;83620071;24;8377944669;CUST_0110;Bán lẻ;Đại lý VLXD An - Long An;Phổ thông;Trung bình;Thấp;Thấp;70;0;0;0;0.104396805;0.731241651;0.268758349;85
83;1;GL;AZ080;0.3;G550;;4290;1938;0;2;2.211340206;;1200;2025-08-20;96583773;Quận Tân Phú;TP. Hồ Chí Minh;2025;8;20;Thứ 4;False;3;2025Q3;Mùa mưa;22514;80486;Mỏng;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;1070705801.0;0;133;11121469464.0;83620071;24;42799130622;CUST_0016;Bán lẻ;Đại lý VLXD Khánh - Phú Yên;Phổ thông;Trung bình;Thấp;Trung bình;282;0;1;0;0.11378405;0.730783013;0.269216987;70
85;1;GL;AZ080;0.35;G550;;4090;1594;0;2;2.562656642;;1200;2025-08-20;88832755;Quận Tân Phú;TP. Hồ Chí Minh;2025;8;20;Thứ 4;False;3;2025Q3;Mùa mưa;21720;74027;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;1070705801.0;0;133;11121469464.0;83620071;24;42799130622;CUST_0014;Bán lẻ;Đại lý VLXD Dũng - Bình Định;Phổ thông;Thấp;Thấp;Trung bình;140;0;1;0;0.10465268;0.728427856;0.271572144;70
102;1;GL;AZ080;0.3;G550;;3950;1774;0;2;2.224099099;;1200;2025-08-22;85361870;TX. Phú Mỹ;Bà Rịa - Vũng Tàu;2025;8;22;Thứ 6;False;4;2025Q3;Mùa mưa;21611;71135;Mỏng;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;272804510.0;2;133;11121469464.0;83620071;24;4092565301;CUST_0076;Bán sỉ;Công ty VLXD Long - Vĩnh Long;Cao cấp;Cao;Cao;Trung bình;10;0;0;0;0.100563677;0.518842342;0.481157658;85
104;1;GL;AZ080;0.3;G550;;3920;1770;0;2;2.212189616;;1200;2025-08-22;84713552;TX. Phú Mỹ;Bà Rịa - Vũng Tàu;2025;8;22;Thứ 6;False;4;2025Q3;Mùa mưa;21611;70595;Mỏng;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;272804510.0;0;133;11121469464.0;83620071;24;4092565301;CUST_0115;Bán sỉ;Công ty VLXD Đạt - Bình Thuận;Tiêu chuẩn;Trung bình;Trung bình;Thấp;10;0;0;0;0.099799902;0.646651051;0.353348949;90
87;1;GL;AZ080;0.3;G550;;4480;2022;0;2;2.213438735;;1200;2025-08-23;102729088;TP. Thủ Đức;TP. Hồ Chí Minh;2025;8;23;Thứ 7;True;4;2025Q3;Mùa mưa;22931;85608;Mỏng;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;272804510.0;1;133;11121469464.0;83620071;24;42799130622;CUST_0087;Bán sỉ;Công ty VLXD Nam - Tỉnh Khánh Hòa;Tiêu chuẩn;Trung bình;Trung bình;Thấp;410;1;1;0;0.121023764;0.732888317;0.267111683;65
129;1;GL;AZ080;0.35;G550;;4130;1610;0;2;2.562034739;;1200;2025-08-29;87325546;TP. Tân Uyên;Bình Dương;2025;8;29;Thứ 6;False;5;2025Q3;Mùa mưa;21144;72771;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;87325546.0;6;133;11121469464.0;83620071;24;10689658678;CUST_0015;Bán lẻ;Đại lý VLXD Hùng - Bình Thuận;Phổ thông;Thấp;Thấp;Trung bình;110;0;0;0;0.102877057;0.816239271;0.183760729;85
151;1;GL;AZ080;0.35;G550;;4120;1610;0;2;2.555831266;;1200;2025-09-06;86103468;Quận Bình Tân;TP. Hồ Chí Minh;2025;9;6;Thứ 7;True;1;2025Q3;Mùa mưa;20899;71753;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;86103468.0;8;133;11121469464.0;83620071;30;42799130622;CUST_0092;Bán sỉ;Công ty VLXD Minh - Long An;Tiêu chuẩn;Cao;Trung bình;Cao;383;1;1;0;0.101437343;0.710287682;0.289712318;50
187;1;GL;AZ080;0.3;G550;;3860;1742;0;2;2.213302752;;1200;2025-09-17;80869316;Quận Tân Phú;TP. Hồ Chí Minh;2025;9;17;Thứ 4;False;3;2025Q3;Mùa mưa;20951;67391;Mỏng;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;169781216.0;11;133;11121469464.0;83620071;30;42799130622;CUST_0098;Bán lẻ;Đại lý VLXD Phúc - Tỉnh Khánh Hòa;Tiêu chuẩn;Cao;Trung bình;Cao;582;1;1;0;0.095271059;0.719600521;0.280399479;50
192;1;GL;AZ080;0.35;G550;;4200;1634;0;2;2.567237164;;1200;2025-09-19;88911900;TP. Quy Nhơn;Bình Định;2025;9;19;Thứ 6;False;3;2025Q3;Mùa mưa;21170;74093;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;169781216.0;2;133;11121469464.0;83620071;30;6068560773;CUST_0066;Bán lẻ;Đại lý VLXD Minh - Bình Định;Phổ thông;Trung bình;Thấp;Trung bình;417;0;0;0;0.104745919;0.740412683;0.259587317;85
218;1;GL;AZ080;0.35;G550;;4060;1582;0;2;2.563131313;;1200;2025-09-30;80588970;Quận Tân Phú;TP. Hồ Chí Minh;2025;9;30;Thứ 3;False;5;2025Q3;Mùa mưa;19850;67157;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;2428245666.0;11;133;11121469464.0;83620071;30;42799130622;CUST_0032;Bán lẻ;Đại lý VLXD Tâm - Tỉnh Khánh Hòa;Phổ thông;Thấp;Thấp;Thấp;354;0;0;0;0.094940787;0.833116254;0.166883746;85
219;1;GL;AZ080;0.35;G550;;4070;1590;0;2;2.556532663;;1200;2025-09-30;85806182;Huyện Long Hồ;Vĩnh Long;2025;9;30;Thứ 3;False;5;2025Q3;Mùa mưa;21083;71505;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;2428245666.0;0;133;11121469464.0;83620071;30;7589710139;CUST_0087;Bán sỉ;Công ty VLXD Nam - Tỉnh Khánh Hòa;Tiêu chuẩn;Trung bình;Trung bình;Trung bình;243;0;0;0;0.101087115;0.620595506;0.379404494;90
220;1;GL;AZ080;0.35;G550;;4070;1590;0;2;2.556532663;;1200;2025-09-30;85806182;Huyện Long Hồ;Vĩnh Long;2025;9;30;Thứ 3;False;5;2025Q3;Mùa mưa;21083;71505;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;2428245666.0;0;133;11121469464.0;83620071;30;7589710139;CUST_0063;Bán sỉ;Công ty VLXD Nam - Bà Rịa - Vũng Tàu;Tiêu chuẩn;Trung bình;Trung bình;Thấp;522;1;0;0;0.101087115;0.650451859;0.349548141;80
221;1;GL;AZ080;0.35;G550;;4090;1598;0;2;2.55625;;1200;2025-09-30;86227834;Huyện Long Hồ;Vĩnh Long;2025;9;30;Thứ 3;False;5;2025Q3;Mùa mưa;21083;71857;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;2428245666.0;0;133;11121469464.0;83620071;30;7589710139;CUST_0086;Bán lẻ;Đại lý VLXD Minh - Bình Thuận;Phổ thông;Thấp;Thấp;Thấp;398;1;0;0;0.101583857;0.788012218;0.211987782;75
222;1;GL;AZ080;0.35;G550;;4090;1594;0;2;2.562656642;;1200;2025-09-30;86227834;Huyện Long Hồ;Vĩnh Long;2025;9;30;Thứ 3;False;5;2025Q3;Mùa mưa;21083;71857;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;2428245666.0;0;133;11121469464.0;83620071;30;7589710139;CUST_0051;Đối tác;Xưởng VLXD An - Bà Rịa - Vũng Tàu;Tiêu chuẩn;Thấp;Trung bình;Thấp;583;0;0;0;0.101583857;0.615435763;0.384564237;90
223;1;GL;AZ080;0.35;G550;;3840;1482;0;2;2.587601078;;1200;2025-09-30;80957184;Huyện Long Hồ;Vĩnh Long;2025;9;30;Thứ 3;False;5;2025Q3;Mùa mưa;21083;67464;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;2428245666.0;0;133;11121469464.0;83620071;30;7589710139;CUST_0025;Bán lẻ;Đại lý VLXD Nam - Bình Thuận;Phổ thông;Thấp;Thấp;Trung bình;466;0;0;0;0.095374575;0.809519528;0.190480472;85
224;1;GL;AZ080;0.35;G550;;4180;1614;0;2;2.586633663;;1200;2025-09-30;88125268;Huyện Long Hồ;Vĩnh Long;2025;9;30;Thứ 3;False;5;2025Q3;Mùa mưa;21083;73438;Trung bình;Cao;Tôn Kẽm;Mỏng;KHÔNGMÀU;Tôn Kẽm_Mỏng_G550_KHÔNGMÀU;2428245666.0;0;133;11121469464.0;83620071;30;7589710139;CUST_0058;Bán lẻ;Đại lý VLXD Minh - Bình Thuận;Tiêu chuẩn;Thấp;Trung bình;Thấp;573;1;0;0;0.103819199;0.658086907;0.341913093;80
