Group,Metric,ONLYSTATS,QUIS,Winner,Description
Core & Efficiency,0. Total insights,60,99,N/A,Total insight cards generated
Core & Efficiency,1. Faithfulness,100.0%,100.0%,Tie,Correctness - đúng dữ liệu
Core & Efficiency,2. Statistical Significance (Overall),79.0%,83.4%,QUIS,Validity - pattern-averaged (fair comparison)
Core & Efficiency,2a. Significance — TREND,100.0% (10),100.0% (2),N/A,Validity - TREND pattern
Core & Efficiency,2a. Significance — OUTSTANDING_VALUE,44.4% (27),40.0% (30),ONLYSTATS,Validity - OUTSTANDING_VALUE pattern
Core & Efficiency,2a. Significance — ATTRIBUTION,100.0% (16),96.0% (25),ONLYSTATS,Validity - ATTRIBUTION pattern
Core & Efficiency,2a. Significance — DISTRIBUTION_DIFFERENCE,71.4% (7),97.4% (39),QUIS,Validity - DISTRIBUTION_DIFFERENCE pattern
Core & Efficiency,3. Insight Novelty,73.3%,84.8%,QUIS,Usefulness - khác baseline
Core & Efficiency,4a. Diversity — Semantic,0.435,0.479,QUIS,Semantic diversity (breakdown|measure|pattern|subspace)
Core & Efficiency,4b. Diversity — Subspace Entropy,2.143,2.259,QUIS,Entropy of subspace filter columns used
Core & Efficiency,4c. Diversity — Value,0.810,0.872,QUIS,"Unique (column, value) pairs in subspace / total"
Core & Efficiency,4d. Diversity — Dedup Rate,0,0,Tie,Duplicate rate — lower is better
Subspace Deep-dive,7. Subspace Rate,42/60 (70.0%),86/99 (86.9%),QUIS,Insights with subspace filter / total
Subspace Deep-dive,7a. Subspace Faithfulness,100.0%,100.0%,Tie,Faithfulness restricted to subspace insights
Subspace Deep-dive,7b. Subspace Significance,52.4%,44.0%,ONLYSTATS,Significance restricted to subspace insights
Subspace Deep-dive,7c. Subspace Novelty,78.6%,87.2%,QUIS,Novelty restricted to subspace insights
Subspace Deep-dive,7d.1. Diversity — Semantic (Subspace),0.420,0.459,QUIS,Semantic diversity restricted to subspace insights
Subspace Deep-dive,7d.2. Diversity — Subspace Entropy (Subspace),2.143,2.259,QUIS,Entropy of subspace filter columns used (subspace insights)
Subspace Deep-dive,7d.3. Diversity — Value (Subspace),0.810,0.872,QUIS,"Unique (column, value) pairs in subspace / total (subspace insights)"
Subspace Deep-dive,7d.4. Diversity — Dedup Rate (Subspace),0,0,Tie,Duplicate rate restricted to subspace insights - lower is better
Subspace Deep-dive,8. Score Uplift from Subspace,"Δ=-0.044, x=0.904","Δ=-0.043, x=0.885",QUIS,Δ = mean(score|subspace) - mean(score|no-subspace)
Subspace Deep-dive,9. Direction Uplift,down,down,Tie,Direction of Δ score uplift: up/down/flat
Intent Layer Quality,"10. Total (B,M) pairs evaluated",31/31,26/26,N/A,Total unique breakdown-measure pairs (categorical breakdowns only for NMI/Interestingness)
Intent Layer Quality,10a. BM — NMI mean,0.217,0.094,ONLYSTATS,Mean NMI over categorical-B pairs
Intent Layer Quality,10b. BM — Interestingness,0.068,0.077,QUIS,Mean Coverage×EffectSize over categorical-B pairs
Intent Layer Quality,10c. BM — Actionability,1.000,1.000,Tie,% pairs with categorical breakdown
Intent Layer Quality,10d. BM — Diversity,0.517,0.263,ONLYSTATS,"Unique (B,M) pairs / total insights"
Intent Layer Quality,11a. Question Semantic Diversity,0.371,0.493,QUIS,1 - mean cosine sim of question embeddings (within-system)
Intent Layer Quality,11b. Question Specificity,7.73 ± 0.63,9.15 ± 1.40,QUIS,Avg word count per question (mean ± std) — higher = more specific
Intent Layer Quality,11c. Question–Insight Alignment,0.720,0.583,ONLYSTATS,"Mean cosine(Embed(question), Embed(insight)) — semantic faithfulness"
Intent Layer Quality,11d. Question Novelty (cross-system),N/A,84.8%,Tie,% of questions with cross-system max cosine sim < 0.85
Intent Layer Quality,11e. Reason–Insight Coherence,N/A,0.553,Tie,"Mean cosine(Embed(reason), Embed(insight)) — reason grounding"
