Group,Metric,QUIS,Baseline,ONLYSTATS,Winner,Description,Aggregation
Core & Efficiency,0. Total insights,99,75,85,N/A,Total insight cards generated,per-dataset (adidas)
Core & Efficiency,0. Total insights,12,21,98,N/A,Total insight cards generated,per-dataset (transactions)
Core & Efficiency,0. Total insights,133,81,132,N/A,Total insight cards generated,per-dataset (employee_attrition)
Core & Efficiency,0. Total insights,106,61,72,N/A,Total insight cards generated,per-dataset (online_sales)
Core & Efficiency,1. Faithfulness,97.9%,97.6%,97.7%,QUIS,Correctness - đúng dữ liệu,avg over 4 datasets
Core & Efficiency,2. Statistical Significance (Overall),34.8%,52.6%,49.8%,Baseline,Validity - pattern-averaged (fair comparison),avg over 4 datasets
Core & Efficiency,2a. Significance — TREND,100.0%,62.5%,83.3%,QUIS,Validity - TREND pattern,avg over 4 datasets
Core & Efficiency,2a. Significance — OUTSTANDING_VALUE,24.1%,77.0%,43.4%,Baseline,Validity - OUTSTANDING_VALUE pattern,avg over 4 datasets
Core & Efficiency,2a. Significance — ATTRIBUTION,46.5%,100.0%,71.1%,Baseline,Validity - ATTRIBUTION pattern,avg over 4 datasets
Core & Efficiency,2a. Significance — DISTRIBUTION_DIFFERENCE,43.6%,61.1%,43.0%,Baseline,Validity - DISTRIBUTION_DIFFERENCE pattern,avg over 4 datasets
Core & Efficiency,2b. Pattern Coverage,4/4 (100%),3/4 (75%),4/4 (100%),Tie,Patterns with ≥1 structurally valid insight / 4 total patterns,per-dataset (adidas)
Core & Efficiency,2b. Pattern Coverage,1/4 (25%),1/4 (25%),3/4 (75%),ONLYSTATS,Patterns with ≥1 structurally valid insight / 4 total patterns,per-dataset (transactions)
Core & Efficiency,2b. Pattern Coverage,3/4 (75%),3/4 (75%),3/4 (75%),Tie,Patterns with ≥1 structurally valid insight / 4 total patterns,per-dataset (employee_attrition)
Core & Efficiency,2b. Pattern Coverage,3/4 (75%),2/4 (50%),4/4 (100%),ONLYSTATS,Patterns with ≥1 structurally valid insight / 4 total patterns,per-dataset (online_sales)
Core & Efficiency,2b1. Uncovered Patterns,—,ATTRIBUTION,—,N/A,Patterns with 0 valid insights (breakdown type mismatch),per-dataset (adidas)
Core & Efficiency,2b1. Uncovered Patterns,"TREND, ATTRIBUTION, DISTRIBUTION_DIFFERENCE","TREND, ATTRIBUTION, DISTRIBUTION_DIFFERENCE",TREND,N/A,Patterns with 0 valid insights (breakdown type mismatch),per-dataset (transactions)
Core & Efficiency,2b1. Uncovered Patterns,TREND,TREND,TREND,N/A,Patterns with 0 valid insights (breakdown type mismatch),per-dataset (employee_attrition)
Core & Efficiency,2b1. Uncovered Patterns,TREND,"TREND, ATTRIBUTION",—,N/A,Patterns with 0 valid insights (breakdown type mismatch),per-dataset (online_sales)
Core & Efficiency,3. Insight Novelty,79.3%,89.7%,71.3%,Baseline,Usefulness - khác baseline (from pairwise comparison results),avg over 4 datasets
Core & Efficiency,4a. Diversity — Semantic,0.4750,0.4572,0.4243,QUIS,Semantic diversity (breakdown|measure|pattern|subspace),avg over 4 datasets
Core & Efficiency,4b. Diversity — Subspace Entropy,2.1353,1.1402,2.4108,ONLYSTATS,Entropy of subspace filter columns used,avg over 4 datasets
Core & Efficiency,4c. Diversity — Value,0.7490,0.4922,0.7512,ONLYSTATS,"Unique (column, value) pairs in subspace / total",avg over 4 datasets
Core & Efficiency,4d. Diversity — Dedup Rate,0.0000,0.0330,0.0000,Tie,Duplicate rate — lower is better,avg over 4 datasets
Subspace Deep-dive,7. Subspace Rate,88.3%,32.8%,70.5%,QUIS,Insights with subspace filter / total,avg over 4 datasets
Subspace Deep-dive,7a. Subspace Faithfulness,97.9%,100.0%,98.0%,Baseline,Faithfulness restricted to subspace insights,avg over 4 datasets
Subspace Deep-dive,7b. Subspace Significance,28.1%,43.8%,41.0%,Baseline,Significance restricted to subspace insights,avg over 4 datasets
Subspace Deep-dive,8. Score Uplift from Subspace,1.0670,0.7670,0.6850,QUIS,Δ = mean(score|subspace) - mean(score|no-subspace),avg over 4 datasets
Subspace Deep-dive,9. Direction (Contrasting Rate),N/A,N/A,N/A,N/A,Rate of subspace insights where subspace value opposes global value — higher means more contrasting/valuable insights,avg over 4 datasets
Intent Layer Quality,"10. Total (B,M) pairs evaluated",26/26,11/24,31/31,N/A,Total unique breakdown-measure pairs (categorical breakdowns only for NMI/Interestingness),per-dataset (adidas)
Intent Layer Quality,"10. Total (B,M) pairs evaluated",1/4,2/8,49/49,N/A,Total unique breakdown-measure pairs (categorical breakdowns only for NMI/Interestingness),per-dataset (transactions)
Intent Layer Quality,"10. Total (B,M) pairs evaluated",49/51,24/30,53/53,N/A,Total unique breakdown-measure pairs (categorical breakdowns only for NMI/Interestingness),per-dataset (employee_attrition)
Intent Layer Quality,"10. Total (B,M) pairs evaluated",24/26,7/16,24/24,N/A,Total unique breakdown-measure pairs (categorical breakdowns only for NMI/Interestingness),per-dataset (online_sales)
Intent Layer Quality,10a. BM — NMI mean,0.0775,0.2838,0.1780,Baseline,Mean NMI over categorical-B pairs,avg over 4 datasets
Intent Layer Quality,10b. BM — Interestingness,0.1030,0.4400,0.1628,Baseline,Mean Coverage×EffectSize over categorical-B pairs,avg over 4 datasets
Intent Layer Quality,10c. BM — Actionability,0.7835,0.4865,1.0000,ONLYSTATS,% pairs with categorical breakdown,avg over 4 datasets
Intent Layer Quality,10d. BM — Diversity,0.3063,0.3332,0.4000,ONLYSTATS,"Unique (B,M) pairs / total insights",avg over 4 datasets
Intent Layer Quality,11a. Question Semantic Diversity,0.5035,0.5777,N/A,Baseline,1 - mean cosine sim of question embeddings (within-system); N/A for ONLYSTATS (template),avg over 4 datasets
Intent Layer Quality,11b. Question Specificity,9.7225,12.5250,N/A,Baseline,Avg word count per question (mean ± std) — higher = more specific; N/A for ONLYSTATS (template),avg over 4 datasets
Intent Layer Quality,11c. Question–Insight Alignment,0.4703,0.5530,N/A,Baseline,"Mean cosine(Embed(question), Embed(insight)) — control metric; N/A for ONLYSTATS (template)",avg over 4 datasets
Intent Layer Quality,11d. Question Novelty (cross-system),95.0%,99.4%,N/A,Baseline,% of questions with cross-system max cosine sim < 0.85 (from pairwise comparison results),avg over 4 datasets
Intent Layer Quality,11e. Reason–Insight Coherence,0.4453,0.4745,N/A,Baseline,"Mean cosine(Embed(reason), Embed(insight)) — reason grounding",avg over 4 datasets
Intent Layer Quality,12. Structural Validity Rate,80.9%,40.7%,93.1%,ONLYSTATS,% insights with breakdown type valid for their pattern — measures QuGen structural understanding,avg over 4 datasets
Intent Layer Quality,12a. SVR — OUTSTANDING_VALUE,30/30,14/14,24/24,Tie,Structural validity for OUTSTANDING_VALUE pattern,per-dataset (adidas)
Intent Layer Quality,12a. SVR — OUTSTANDING_VALUE,5/5,9/9,40/40,Tie,Structural validity for OUTSTANDING_VALUE pattern,per-dataset (transactions)
Intent Layer Quality,12a. SVR — OUTSTANDING_VALUE,35/35,11/11,58/58,Tie,Structural validity for OUTSTANDING_VALUE pattern,per-dataset (employee_attrition)
Intent Layer Quality,12a. SVR — OUTSTANDING_VALUE,36/36,18/18,25/25,Tie,Structural validity for OUTSTANDING_VALUE pattern,per-dataset (online_sales)
Intent Layer Quality,12a. SVR — TREND,2/2,16/33,10/10,Tie,Structural validity for TREND pattern,per-dataset (adidas)
Intent Layer Quality,12a. SVR — TREND,N/A,0/12,N/A,Tie,Structural validity for TREND pattern,per-dataset (transactions)
Intent Layer Quality,12a. SVR — TREND,0/1,0/42,N/A,Tie,Structural validity for TREND pattern,per-dataset (employee_attrition)
Intent Layer Quality,12a. SVR — TREND,0/1,0/19,3/3,ONLYSTATS,Structural validity for TREND pattern,per-dataset (online_sales)
Intent Layer Quality,12a. SVR — ATTRIBUTION,27/27,0/13,20/24,QUIS,Structural validity for ATTRIBUTION pattern,per-dataset (adidas)
Intent Layer Quality,12a. SVR — ATTRIBUTION,0/5,N/A,53/53,ONLYSTATS,Structural validity for ATTRIBUTION pattern,per-dataset (transactions)
Intent Layer Quality,12a. SVR — ATTRIBUTION,50/50,7/13,65/65,Tie,Structural validity for ATTRIBUTION pattern,per-dataset (employee_attrition)
Intent Layer Quality,12a. SVR — ATTRIBUTION,29/32,0/11,18/20,QUIS,Structural validity for ATTRIBUTION pattern,per-dataset (online_sales)
Intent Layer Quality,12a. SVR — DISTRIBUTION_DIFFERENCE,39/40,4/15,17/27,QUIS,Structural validity for DISTRIBUTION_DIFFERENCE pattern,per-dataset (adidas)
