Group,Metric,QUIS,Baseline,ONLYSTATS,Winner,Description
Core & Efficiency,0. Total insights,97,86,93,N/A,Total insight cards generated
Core & Efficiency,1. Faithfulness,100.0%,100.0%,100.0%,Tie,Correctness - đúng dữ liệu
Core & Efficiency,2. Statistical Significance (Overall),74.7%,60.3%,92.0%,ONLYSTATS,Validity - pattern-averaged (fair comparison)
Core & Efficiency,2a. Significance — TREND,50.0% (2),93.3% (15),100.0% (10),ONLYSTATS,Validity - TREND pattern
Core & Efficiency,2a. Significance — OUTSTANDING_VALUE,53.0% (66),81.2% (16),68.2% (66),Baseline,Validity - OUTSTANDING_VALUE pattern
Core & Efficiency,2a. Significance — ATTRIBUTION,95.8% (24),N/A,100.0% (15),ONLYSTATS,Validity - ATTRIBUTION pattern
Core & Efficiency,2a. Significance — DISTRIBUTION_DIFFERENCE,100.0% (4),66.7% (9),100.0% (2),Tie,Validity - DISTRIBUTION_DIFFERENCE pattern
Core & Efficiency,2b. Pattern Coverage,4/4 (100%),3/4 (75%),4/4 (100%),Tie,Patterns with ≥1 structurally valid insight / 4 total patterns
Core & Efficiency,2b1. Uncovered Patterns,—,ATTRIBUTION,—,N/A,Patterns with 0 valid insights (breakdown type mismatch)
Core & Efficiency,3. Insight Novelty,38.1%,84.9%,33.3%,Baseline,Usefulness - khác baseline
Core & Efficiency,4a. Diversity — Semantic,0.468,0.451,0.405,QUIS,Semantic diversity (breakdown|measure|pattern|subspace)
Core & Efficiency,4b. Diversity — Subspace Entropy,1.354,1.516,1.563,ONLYSTATS,Entropy of subspace filter columns used
Core & Efficiency,4c. Diversity — Value,1.000,0.375,0.788,QUIS,"Unique (column, value) pairs in subspace / total"
Core & Efficiency,4d. Diversity — Dedup Rate,0,0.012,0,Tie,Duplicate rate — lower is better
Subspace Deep-dive,7. Subspace Rate,45/97 (46.4%),32/86 (37.2%),33/93 (35.5%),QUIS,Insights with subspace filter / total
Subspace Deep-dive,7a. Subspace Faithfulness,100.0%,100.0%,100.0%,Tie,Faithfulness restricted to subspace insights
Subspace Deep-dive,7b. Subspace Significance,73.3%,90.5%,75.8%,Baseline,Significance restricted to subspace insights
Subspace Deep-dive,8. Score Uplift from Subspace,"Δ=-0.091, x=0.832","Δ=-0.112, x=0.812","Δ=-0.128, x=0.785",QUIS,Δ = mean(score|subspace) - mean(score|no-subspace)
Intent Layer Quality,"10. Total (B,M) pairs evaluated",44/44,21/31,66/66,N/A,Total unique breakdown-measure pairs (categorical breakdowns only for NMI/Interestingness)
Intent Layer Quality,10a. BM — NMI mean,0.075,0.121,0.096,Baseline,Mean NMI over categorical-B pairs
Intent Layer Quality,10b. BM — Interestingness,0.085,0.131,0.105,Baseline,Mean Coverage×EffectSize over categorical-B pairs
Intent Layer Quality,10c. BM — Actionability,1.000,0.677,1.000,Tie,% pairs with categorical breakdown
Intent Layer Quality,10d. BM — Diversity,0.454,0.360,0.710,ONLYSTATS,"Unique (B,M) pairs / total insights"
Intent Layer Quality,11a. Question Semantic Diversity,0.521,0.596,0.405,Baseline,1 - mean cosine sim of question embeddings (within-system)
Intent Layer Quality,11b. Question Specificity,9.53 ± 1.76,12.78 ± 5.24,7.57 ± 0.65,Baseline,Avg word count per question (mean ± std) — higher = more specific
Intent Layer Quality,11c. Question–Insight Alignment,0.563,0.576,0.726,ONLYSTATS,"Mean cosine(Embed(question), Embed(insight)) — control metric (Tie = both execute faithfully)"
Intent Layer Quality,11d. Question Novelty (cross-system),61.9%,95.3%,88.2%,Baseline,% of questions with cross-system max cosine sim < 0.85
Intent Layer Quality,11e. Reason–Insight Coherence,0.571,0.510,0.700,ONLYSTATS,"Mean cosine(Embed(reason), Embed(insight)) — reason grounding"
Intent Layer Quality,12. Structural Validity Rate,100.0% (97/97),43.0% (37/86),100.0% (93/93),Tie,% insights with breakdown type valid for their pattern — measures QuGen structural understanding
Intent Layer Quality,12a. SVR — OUTSTANDING_VALUE,66/66,16/16,66/66,Tie,Structural validity for OUTSTANDING_VALUE pattern
Intent Layer Quality,12a. SVR — TREND,3/3,15/39,10/10,Tie,Structural validity for TREND pattern
Intent Layer Quality,12a. SVR — ATTRIBUTION,24/24,0/11,15/15,Tie,Structural validity for ATTRIBUTION pattern
Intent Layer Quality,12a. SVR — DISTRIBUTION_DIFFERENCE,4/4,6/20,2/2,Tie,Structural validity for DISTRIBUTION_DIFFERENCE pattern
