Group,Metric,QUIS,Baseline,ONLYSTATS,Winner,Description
Core & Efficiency,0. Total insights,106,61,48,N/A,Total insight cards generated
Core & Efficiency,1. Faithfulness,100.0%,96.7%,100.0%,Tie,Correctness - đúng dữ liệu
Core & Efficiency,2. Statistical Significance (Overall),35.9%,44.6%,66.3%,ONLYSTATS,Validity - pattern-averaged (fair comparison)
Core & Efficiency,2a. Significance — TREND,N/A,100.0% (2),50.0% (2),Baseline,Validity - TREND pattern
Core & Efficiency,2a. Significance — OUTSTANDING_VALUE,34.4% (32),78.6% (14),52.2% (23),Baseline,Validity - OUTSTANDING_VALUE pattern
Core & Efficiency,2a. Significance — ATTRIBUTION,53.3% (30),N/A,63.2% (19),ONLYSTATS,Validity - ATTRIBUTION pattern
Core & Efficiency,2a. Significance — DISTRIBUTION_DIFFERENCE,56.0% (25),0.0% (5),100.0% (1),ONLYSTATS,Validity - DISTRIBUTION_DIFFERENCE pattern
Core & Efficiency,2b. Pattern Coverage,3/4 (75%),2/4 (50%),4/4 (100%),ONLYSTATS,Patterns with ≥1 structurally valid insight / 4 total patterns
Core & Efficiency,2b1. Uncovered Patterns,TREND,"TREND, ATTRIBUTION",—,N/A,Patterns with 0 valid insights (breakdown type mismatch)
Core & Efficiency,3. Insight Novelty,64.2%,95.1%,31.2%,Baseline,Usefulness - khác baseline (from pairwise comparison results)
Core & Efficiency,4a. Diversity — Semantic,0.489,0.449,0.415,QUIS,Semantic diversity (breakdown|measure|pattern|subspace)
Core & Efficiency,4b. Diversity — Subspace Entropy,1.596,0.843,1.645,ONLYSTATS,Entropy of subspace filter columns used
Core & Efficiency,4c. Diversity — Value,0.440,0.500,0.444,Baseline,"Unique (column, value) pairs in subspace / total"
Core & Efficiency,4d. Diversity — Dedup Rate,0,0,0,Tie,Duplicate rate — lower is better
Subspace Deep-dive,7. Subspace Rate,84/106 (79.2%),22/61 (36.1%),45/48 (93.8%),ONLYSTATS,Insights with subspace filter / total
Subspace Deep-dive,7a. Subspace Faithfulness,100.0%,100.0%,100.0%,Tie,Faithfulness restricted to subspace insights
Subspace Deep-dive,7b. Subspace Significance,44.4%,100.0%,45.0%,Baseline,Significance restricted to subspace insights
Subspace Deep-dive,8. Score Uplift from Subspace,"Δ=-0.137, x=0.742","Δ=0.022, x=1.042","Δ=-0.394, x=0.534",Baseline,Δ = mean(score|subspace) - mean(score|no-subspace)
Intent Layer Quality,"10. Total (B,M) pairs evaluated",24/26,5/14,24/24,N/A,Total unique breakdown-measure pairs (categorical breakdowns only for NMI/Interestingness)
Intent Layer Quality,10a. BM — NMI mean,0.179,0.245,0.228,Baseline,Mean NMI over categorical-B pairs
Intent Layer Quality,10b. BM — Interestingness,0.244,0.484,0.314,Baseline,Mean Coverage×EffectSize over categorical-B pairs
Intent Layer Quality,10c. BM — Actionability,0.923,0.357,1.000,ONLYSTATS,% pairs with categorical breakdown
Intent Layer Quality,10d. BM — Diversity,0.245,0.230,0.500,ONLYSTATS,"Unique (B,M) pairs / total insights"
Intent Layer Quality,11a. Question Semantic Diversity,0.518,0.577,0.387,Baseline,1 - mean cosine sim of question embeddings (within-system)
Intent Layer Quality,11b. Question Specificity,9.99 ± 2.21,13.48 ± 4.68,7.50 ± 0.50,Baseline,Avg word count per question (mean ± std) — higher = more specific
Intent Layer Quality,11c. Question–Insight Alignment,0.543,0.543,0.681,Tie,"Mean cosine(Embed(question), Embed(insight)) — control metric (Tie = both execute faithfully)"
Intent Layer Quality,11d. Question Novelty (cross-system),95.3%,100.0%,N/A,Baseline,% of questions with cross-system max cosine sim < 0.85 (from pairwise comparison results)
Intent Layer Quality,11e. Reason–Insight Coherence,0.557,0.500,N/A,QUIS,"Mean cosine(Embed(reason), Embed(insight)) — reason grounding"
Intent Layer Quality,12. Structural Validity Rate,86.8% (92/106),34.4% (21/61),91.7% (44/48),ONLYSTATS,% insights with breakdown type valid for their pattern — measures QuGen structural understanding
Intent Layer Quality,12a. SVR — OUTSTANDING_VALUE,36/36,16/18,23/23,Tie,Structural validity for OUTSTANDING_VALUE pattern
Intent Layer Quality,12a. SVR — TREND,0/1,0/19,2/2,ONLYSTATS,Structural validity for TREND pattern
Intent Layer Quality,12a. SVR — ATTRIBUTION,29/32,0/11,18/19,ONLYSTATS,Structural validity for ATTRIBUTION pattern
Intent Layer Quality,12a. SVR — DISTRIBUTION_DIFFERENCE,27/37,5/13,1/4,QUIS,Structural validity for DISTRIBUTION_DIFFERENCE pattern
