Metric,IFQ,Baseline,Winner,Category,Description
1. Faithfulness,100.0%,100.0%,Tie,Core,Correctness - đúng dữ liệu
2. Statistical Significance (Overall),90.5%,100.0%,Baseline,Core,Validity - không phải noise (tổng)
2a. Significance — TREND,"50.0% (2)
Invoice Date/Retailer ID: MK=0.0736; Invoice Date/Total Sales: MK=0.0000","100.0% (36)
Operating Profit/Total Sales: MK=0.0000; Units Sold/Total Sales: MK=0.0000; Retailer ID/Units Sold: MK=0.0000; Total Sales/Operating Profit: MK=0.0000; Operating Margin/Operating Profit: MK=0.0000; ... and 31 more",Baseline,Core,Validity - TREND pattern
2a. Significance — OUTSTANDING_VALUE,"88.9% (54)
Retailer/Units Sold: p=0.0000; City/Total Sales: p=0.0000; Sales Method/Operating Profit: p=0.0000; Sales Method/Operating Profit: p=0.0000; Region/Total Sales: p=0.0000; ... and 49 more",N/A,IFQ,Core,Validity - OUTSTANDING_VALUE pattern
2a. Significance — ATTRIBUTION,"95.8% (24)
Sales Method/Operating Profit: p=0.0000; Region/Total Sales: p=0.0000; Retailer/Units Sold: p=0.0000; Sales Method/Operating Profit: p=0.0000; Region/Invoice Date: p=0.0000; ... and 19 more","100.0% (14)
Units Sold/Total Sales: p=0.0000; Total Sales/Operating Profit: p=0.0000; Units Sold/Operating Profit: p=0.0000; Total Sales/Operating Profit: p=0.0000; Units Sold/Total Sales: p=0.0000; ... and 9 more",Baseline,Core,Validity - ATTRIBUTION pattern
2a. Significance — DISTRIBUTION_DIFFERENCE,"100.0% (4)
State/Units Sold: p=0.0000; State/Operating Profit: p=0.0000; Retailer/Operating Margin: p=0.0076; Product/Operating Profit: p=0.0000",N/A,IFQ,Core,Validity - DISTRIBUTION_DIFFERENCE pattern
3. Insight Novelty,97.9%,92.2%,IFQ,Core,Usefulness - khác baseline
4a. Diversity — Semantic,0.468,0.330,IFQ,Core,Semantic diversity (breakdown|measure|pattern|subspace)
4b. Diversity — Subspace Entropy,1.354,1.508,Baseline,Core,Entropy of subspace filter columns used
4c. Diversity — Value,1.000,0.323,IFQ,Core,"Unique (column, value) pairs in subspace / total"
4d. Diversity — Dedup Rate,0,0.364,IFQ,Core,Duplicate rate — lower is better
7. Subspace Rate,45/97 (46.4%),31/77 (40.3%),IFQ,Subspace,Insights with subspace filter / total
7a. Subspace Faithfulness,100.0%,100.0%,Tie,Subspace,Faithfulness restricted to subspace insights
7b. Subspace Significance,97.7%,100.0%,Baseline,Subspace,Significance restricted to subspace insights
7c. Subspace Novelty,100.0%,100.0%,Tie,Subspace,Novelty restricted to subspace insights
7d.1. Diversity — Semantic (Subspace),0.444,0.344,IFQ,Subspace,Semantic diversity restricted to subspace insights
7d.2. Diversity — Subspace Entropy (Subspace),1.354,1.508,Baseline,Subspace,Entropy of subspace filter columns used (subspace insights)
7d.3. Diversity — Value (Subspace),1.000,0.323,IFQ,Subspace,"Unique (column, value) pairs in subspace / total (subspace insights)"
7d.4. Diversity — Dedup Rate (Subspace),0,0.129,IFQ,Subspace,Duplicate rate restricted to subspace insights - lower is better
